บทคัดย่อ,ประเภทของโปรเจค
"การวิจัยในครั้งนี้มีวัตถุประสงค์เพื่อพัฒนาและหาประสิทธิภาพของระบบจัดกิจกรรมใบงาน
 แบบปรับเปลี่ยนกรณีศึกษารายวิชาการพัฒนาและเขียนโปรแกรมบนเว็บมหาวิทยาลัยเทคโนโลยี
 ราชมงคลสุวรรณภูมิเพื่อหาประสิทธิภาพของใบงานตามเกณฑ์80/80และเพื่อเปรียบเทียบ
 ผลสัมฤทธิ์ทางการเรียนก่อนเรียนและหลังเรียนของผู้เรียนโดยกลุ่มตัวอย่างที่ใช้คือนักศึกษา
 สาขาวิชาเทคโนโลยีสารสนเทศธุรกิจมหาวิทยาลัยเทคโนโลยีราชมงคลสุวรรณภูมิจำนวน30คน
 คัดเลือกแบบเจาะจงเครื่องมือที่ใช้ในการวิจัยครั้งนี้ได้แก่ระบบจัดกิจกรรมใบงานแบบปรับเปลี่ยน
 ที่พัฒนาขึ้นแบบทดสอบก่อนเรียนและหลังเรียนใบงานแบบปรับเปลี่ยนและแบบประเมิน
 ประสิทธิภาพระบบสำหรับผู้เชี่ยวชาญการวิเคราะห์ข้อมูลใช้ค่าเฉลี่ยส่วนเบี่ยงเบนมาตรฐานและ
 การทดสอบค่าt-testเพื่อเปรียบเทียบความแตกต่างของผลสัมฤทธิ์ก่อนเรียนและหลังเรียน
 ผลการวิจัยปรากฎว่าระบบที่พัฒนาขึ้นมีประสิทธิภาพอยู่ในเกณฑ์ดี(x=3.94,S.D.=-0.08)
 ใบงานแบบปรับเปลี่ยนมีประสิทธิภาพเท่ากับ83.75/81.17ซึ่งสูงกว่าเกณฑ์ที่กำหนดไว้80/80
 ผลสัมฤทธิ์ทางการเรียนหลังเรียนมีคะแนนผลสัมฤทธิ์ทางการเรียนสูงกว่าก่อนเรียนอย่างมี
 นัยสำคัญทางสถิติที่ระดับ.05ซึ่งเป็นไปตามสมมติฐานที่ตั้งไว้",MIS
"การวิจัยในครั้งนี้เป็นการวิจัยเชิงทดลองมีวัตถุประสงค์เพื่อพัฒนาและหาประสิทธิภาพ
 บทเรียนคอมพิวเตอร์ช่วยสอนบนเครื่อข่ายอินเทอร์เน็ตวิชาโครงสร้างข้อมูลและอัลกอริทีม
 ระบบเทียบโอนความรู้และประสบการณ์หลักสูตรประกาศนียบัตรวิชาชีพชั้นสูงและเพื่อ
 เปรียบเทียบผลสัมฤทธิ์ทางการเรียนระหว่างกลุ่มที่เรียนรู้ด้วยบทเรียนคอมพิวเตอร์ช่วยสอน
 ที่ผู้วิจัยพัฒนาขึ้นกับการเรียนด้วยวิธีปกติกลุ่มตัวอย่างได้แก่นักศึกษาระดับประกาศนียบัตร
 วิชาชีพชั้นสูงชั้นปี1จำนวน28คนภาคเรียนที่2ปีการศึกษา2553ของวิทยาลัยอาชีวศึกษา
 เทคโนโลยีฐานวิทยาศาสตร์(ชลบุรีโดยให้กลุ่มที่ใช้ในการทคลองทำแบบทดสอบก่อนเรียน
 แล้วเรียนด้วยบทเรียนคอมพิวเตอร์ช่วยสอนจากนั้นทำแบบทดสอบหลังเรียนหลังจากนั้นจึงนำค่า
 มาวิเคราะห์โดยใช้สถิติพื้นฐานหาประสิทธิภาพของบทเรียนและหาค่าที(L-testแบบIndependent
 SampleGroup)
 ผลการวิจัยพบว่า1)บทเรียนคอมพิวเตอร์ช่วยสอนมีประสิทธิภาพเท่ากับ1.01ตามสูตรของ
 เมกุยแกนส์2)ผลสัมฤทธิ์ทางการเรียนของผู้เรียนหลังเรียนด้วยบทเรียนคอมพิวเตอร์ช่วยสอนบน
 เครือข่ายอินเทอร์น็ตของกลุ่มที่เรียนด้วยบทเรียนคอมพิวเตอร์ช่วยสอนสูงกว่ากลุ่มที่เรียนด้วยวิธี
 แบบปกติอย่างมีนัยสำคัญทางสถิติที่ระดับ.05สรุปได้ว่าบทเรียนคอมพิวเตอร์ที่พัฒนาขึ้นนี้
 สามารถนำไปใช้ในการเรียนการสอนได้อย่างเหมาะสม",WBI
"การวิจัยครั้งนี้มีวัตถุประสงค์เพื่อพัฒนาหาประสิทธิภาพของบทเรียนเปรียบเทียบผลสัมฤทธิ์
 ทางการเรียนของนักศึกษาและประเมินความพึงพอใจของนักศึกษาที่มีต่อบทเรียนคอมพิวเตอร์
 ช่วยสอนผ่านเว็บวิชาโปรแกรมสำเร็จรูปในงานอาชีพเรื่องการใช้อินเทอร์เน็ตสืบค้นข้อมูลเพื่อพัฒนา
 งานอาชีพด้วยวิธีการสอนแบบฝึกปฏิบัติกลุ่มตัวอย่างเป็นนักศีกษาระดับประกาศนียบัตรวิชาชีพชั้นสูง
 (ปวส.)ชั้นปีที่1แผนกวิชาการตลาดวิทยาลัยเทคนิคอุทัยธานีจำนวน25คนซึ่งได้มาโดยการเลือก
 แบบเจาะจง(PurposiveSampling)เครื่องมือที่ใช้ในการวิจัยประกอบด้วย1)บทเรียนคอมพิวเตอร์
 ช่วยสอนผ่านเว็บซึ่งประกอบด้วยเนื้อหาวีดีโอสาธิตและแบบฝึกปฏิบัติ2)แบบทดสอบวัดผลสัมฤทธิ์
 ทางการเรียน3)แบบประเมินคุณภาพด้านเนื้อหาของบทเรียน4)แบบประเมินคุณภาพด้านเทคนิค
 การผลิตสื่อบทเรียนและ5)แบบสอบถามความพึงพอใจของนักศึกษา
 ผลการวิจัยพบว่าบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บวิชาโปรแกรมสำเร็จรูปในงานอาชีพ
 เรื่องการใช้อินเทอร์เน็ตสืบค้นข้อมูลเพื่อพัฒนางานอาชีพด้วยวิธีการสอนแบบฝึกปฏิบัติที่ผู้วิจัย
 พัฒนาขึ้นมีประสิทธิภาพ84.83/84.19สูงกว่าเกณฑ์80/80ที่ตั้งสมมติฐานไว้และเมื่อนำคะแนนก่อนเรียน
 และหลังเรียนมาวิเคราะห์เพื่อหาผลสัมฤทธิ์ทางการเรียนพบว่าคะแนนหลังเรียนสูงกว่าก่อนเรียน
 อย่างมีนัยสำคัญทางสถิติที่ระดับ.05และนักศึกษามีความพึงพอใจต่อบทเรียนมีค่าเฉลี่ยเท่ากับ4.17
 อยู่ในระดับมาก",WBI
"การวิจัยครั้งนี้เป็นการวิจัยการพัฒนาโปรแกรมตรวจกระดาษคำตอบปรนัยโดยประยุกต์ใช้
 เทคนิคการประมวลผลภาพในการตรวจกระดาษคำตอบแบบปรนัยแบบฝนเครื่องมือที่ใช้ใน
 งานวิจัยครั้งนี้คือโปรแกรมตรวจกระดาษคำตอบปรนัยที่ผู้วิจัยได้พัฒนาโดยใช้ในการตรวจ
 กระดาษคำตอบของมหาวิทยาลัยเทคโนโลยีราชมงคลสุวรรณภูมิกลุ่มตัวอย่างที่ใช้ในการวิจัยเป็น
 ชุดทดลองและทำการฝนกระดาษคำตอบโดยที่กระดาษคำตอบมีตัวเลือก5ตัวเลือกจำนวน
 150ข้อเพื่อใช้ในการหาประสิทธิภาพด้านความถูกต้องและการหาประสิทธิภาพด้านความเวลาใน
 การตรวจสอบ
 โปรแกรมที่พัฒนาขึ้นได้ผ่านการทดสอบด้านประสิทธิภาพจากผู้เชี่ยวชาญมีประสิทธิภาพ
 อยู่ในระดับดีมีค่าเฉลี่ย4.41และส่วนเบี่ยงเบนมาตรฐาน0.53จากนั้นจึงทดสอบประสิทธิภาพ
 โปรแกรมด้วยการทดสอบความถูกต้องในการตรวจคำตอบจากกระดาษคำตอบที่มีรูปแบบการฝน
 หลายรูปแบบประกอบด้วยการฝนด้วยดินสอHBการฝนด้วยดินสอ2Bการฝนด้วยปากกาสีน้ำ
 เงินและการฝนด้วยปากกาสีดำทดสอบกับกระดาษคำตอบจำนวน180แผ่นผลโปรแกรมที่ได้มี
 ประสิทธิภาพด้านความถูกต้องคิดเป็นร้อยละ98.99และทดสอบประสิทธิภาพด้านเวลาโดยการ
 เทียบกับวิธีการตรวจด้วยมือด้วยการทสอบกระดาบคำตอบชุดเดี่ยวกันจำนวน50แผ่นพบว่าการ
 ตรวจด้วยโปรแกรมสามารถตรวจได้เร็วกว่า5.48เท่าดังนั้นโปรแกรมที่พัฒนาขึ้นสามารถนำไป
 ประยุกต์ใช้งานได้อย่างมีประสิทธิภาพ",MIS
"ปัญหาพิเศษนี้มีวัตถุประสงค์เพื่อพัฒนาระบบการจัดเก็บข้อมูลผู้ใช้ให้อยู่ในลักษณะ
 ฐานข้อมูล(Database)ซึ่งง่ายต่อการสืบค้นและติดตามโดยผ่านระบบอินทราเน็ตของฝ่ายการศึกษา
 ที่ใช้ในการเรียนการสอนของนักศึกษาระบบดังกล่าวเป็นระบบที่พัฒนาขึ้นเพื่อใช้ในการจัดเก็บ
 ข้อมูลครุภัณฑ์ในรูปแบบอิเล็คทรอนิกส์บนเครื่อข่ายอินทราเน็ตซึ่งช่วยให้ประหยัดเวลาและเกิด
 ความคล่องตัวในการปฏิบัติงานได้มากขึ้นพัฒนาด้วยโปรแกรมภาษาASP.NET
 บนระบบปฏิบัติการMicrosoftWinhes2003และระบบการจัดการฐานข้อมูลMicrosoft
 sOLServerกลุ่มตัวอย่างที่ให้สำรวจนี้ใด้แก่ผู้ดูแลระบบจำนวน5คนและผู้ใช้ระบบ
 จำนาน30คนซึ่งเป็นเจ้าหน้าที่ฝ่ายพยาบาลคณะแพทยศาสตร์ศิริราษพยาบาลมหาวิทยาลัยมหิดล
 ทำการประเมินความพึงพอใจโดยใช้แบบสอบถามมาตราส่วนประเมินค่าระดับผลการ
 ประเมินความพึงพอใจของระบบสารสนเทศการบริหารจัดการฐานข้อมูลครุภัณฑ์หน่วยสนับสนุน
 การใช้สื่อโสตทัศนูปกรณ์นี้ฝ่ายการศึกษาคณะแพทยศาสตร์ศิริราชพยาบาลมหาวิทยาลับมหิดล
 อยู่ในระดับมากสรุปได้ว่าระบบครุภัณฑ์ผ่านระบบเครือข่ายอินทราเน็ตที่พัฒนาขึ้นมาสามารถนำไปใช้งาน
 ได้อย่างเหมาะสม",MIS
"ในการวิจัยครั้งนี้มีวัตถุประสงค์เพื่อ1)เพื่อพัฒนาบทเรียนคอมพิวเตอร์ช่วยสอนแบบฝึกการ
 สังเกตเรื่องแรงและการเคลื่อนที่ระดับชั้นประถมศึกษาปีที่52)เพื่อหาประสิทธิภาพของบทเรียน
 คอมพิวเตอร์ช่วยสอนที่พัฒนาขึ้น3)เพื่อเปรียบเทียบผลสัมฤทธิ์ทางการเรียนของผู้เรียนที่เรียนด้วย
 บทเรียนคอมพิวเตอร์ช่วยสอนที่พัฒนาขึ้นกลุ่มตัวอย่างที่ใช้ในการวิจัยเป็นนักเรียนระดับชั้น
 ประถมศึกษาชั้นปีที่5โรงเรียนวัดลาดกระจับหลักสูตรการศึกษาขั้นพื้นฐานที่เรียนสาระการ
 เรียนรู้วิทขาศาสตร์จำนวน30คนโดยใช้วิธีการเลือกแบบเจาะจง(PurposiveSamping)เครื่องมือ
 ที่ใช้ในการวิจัยได้แก่บทเรียนคอมพิวเตอร์ช่วยสอนแบบฝึกการสังเกตกลุ่มสาระการเรียนรู้
 วิทยาศาสตร์เรื่องแรงและการเคลื่อนที่แบบทดสอบก่อนเรียนระหว่างเรียนหลังเรียนและ
 แบบสอบถามผู้เชี่ยวชาญ
 ผลการวิจัยพบว่า1)บทเรียนคอมพิวเตอร์ช่วยสอนแบบฝึกการสังเกตวิชาวิทยาศาสตร์เรื่อง
 แรงและการเคลื่อนที่ที่ผู้วิจัยสร้างขึ้นมีประสิทธิภาพ90.77/83.55สูงกว่าเกณฑ์ที่กำหนดไว้ที่
 80/802)ผลสัมฤทธิ์ทางการเรียนหลังเรียนด้วยบทเรียนคอมพิวเตอร์ช่วยสอนวิชาวิทยาศาสตร์
 เรื่องแรงและการเคลื่อนที่มีผลสัมฤทธิ์ทางการเรียนสูงกว่าก่อนเรียนที่ระดับนัยสำคัญทางสถิติ.05
 ซึ่งเป็นไปตามสมมุติฐานที่ตั้งไว้สรุปได้ว่าบทเรียนคอมพิวเตอร์ช่วยสอนที่พัฒนาขึ้นนี้สามารถ
 นำไปใช้งานได้อย่างมีประสิทธิภาพ",CAI
"การวิจัยครั้งนี้มีวัตถุประสงค์เพื่อพัฒนาและหาประสิทธิภาพบทเรียนคอมพิวเตอร์ช่วยสอน
 ผ่านเว็บรายวิชาWordProcessingสำหรับนักเรียนมัธยมศึกษาปีที่1ด้วยการเรียนรู้แบบโครงงาน
 และเพื่อเปรียบเทียบผลสัมฤทธิ์ทางการเรียนก่อนเรียนและหลังเรียนนอกจากนั้นยังหาความพึงพอใจ
 ของผู้เรียนที่เรียนด้วยบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บที่พัฒนาขึ้นกลุ่มตัวอย่างที่ใช้ในการวิจัย
 ครั้งนี้เป็นนักเรียนชั้นมัธยมศึกษาปีที่1โรงเรียนบรรพตพิสัยพิทยาคมภาคเรียนที่2ปีการศึกษา
 2553จำนวน15คนโดยการเลือกแบบเจาะจงเครื่องมือที่ใช้ในการวิจัยได้แก่1)บทเรียนคอมพิวเตอร์
 ช่วยสอบผ่านเว็บประกอบด้วยเนื้อหาวีดิโอสาธิตและแบบฝึกปฏิบัติใดยใช้เทคนิคการเรียนรู้แบบ
 โครงงาน2)แบบทดสอบและ3)แบบสอบถามความพึงพอใจขั้นตอนการวิจัยเริ่มจากให้กลุ่มตัวอย่าง
 ทำแบบทดสอบก่อนเรียนศึกษาบทเรียนหลังจากนั้นให้ทำแบบทดสอบหลังเรียนและประเมิน
 ความพึงพอใจสำหรับการวิเคราะห์ข้อมูลใช้สถิติพื้นฐานได้แก่เฉลี่ยค่าเบื่ยงเบนมาตรฐานและ
 การทดสอบค่าt
 ผลการวิจัยพบว่าบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บที่ผู้วิจัยพัฒนาขึ้นมีประสิทธิภาพ
 81.79/80.77สูงกว่าเกณฑ์80/80ที่ตั้งไว้ผลสัมฤทธิ์ทางการเรียนของผู้เรียนที่เรียนด้วยบทเรียน
 คอมพิวเตอร์ช่วยสอนผ่านเว็บหลังเรียนสูงกว่าก่อนเรียนอย่างมีนัยสำคัญทางสถิติที่ระดับ.05และ
 ผู้เรียนมีความพึงพอใจต่อบทเรียนคอมพิวเตอร์ช่วยสอนผ่านเว็บที่ผู้วิจัยพัฒนาขึ้นในระดับมาก",WBI
"การวิจัยครั้งนี้มีวัตถุประสงค์เพื่อพัฒนาหาประสิทธิภาพการค้นหาข้อมูลและหา
 ความพึงพอใจในระบบสารสนเทศเพื่อการจัดการความรู้ภูมิปัญญาท้องถิ่นกรณีศึกษาการเลี้ยงปลา
 ในกระชังแม่น้ำสะแกกรังจังหวัดอุทัยธานีโดยการพัฒนาระบบสารสนเทศดังกล่าวช่วยส่งเสริม
 และสนับสนุนการนำแนวคิดการจัดการความรู้และภูมิปัญญาท้องถิ่นที่มีอยู่เป็นจำนวนมากซึ่งเป็น
 ประโยชน์ต่อสังคมและชุมชนและข้อมูลดังกล่าวซึ่งไม่ได้จัดเก็บให้เป็นระเบียบเรียบร้อยและ
 ให้ง่ายต่อการสืบค้นระบบสารสนเทศที่พัฒนาขึ้นได้นำออนโทโลยี(Ontiology)มาออกแบบ
 โครงสร้างที่ได้รับการรับรองจากผู้เชียวชาญด้านประมงแล้วทำการวิเคราะห์ข้อมูลโดยใช้ภาษา
 OWL(WebOntologyLanguage)ที่เป็นภาษาโครงสร้างและระบบRAP(RDFAPIForPHP)
 ที่สนับสนุนการวิเคราะห์ตามกระบวนการจัดการความรู้ให้ตรงต่อความต้องการของผู้ใช้
 กลุ่มตัวอย่างที่ใช้ระบบสารสนเทศที่พัฒนาเป็นประชาชนในพื้นที่ตำบลอุทัยใหม่ตำบลสะแกกรัง
 ตำบลเกาะเทโพตำบลท่าซุงตำบลหาดทนงตำบลท่าซุงและบุคคลทั่วไปรวม40คน
 โดยทำการเลือกแบบเจาะจง(PurposiveSampling)
 ผลการวิจัยพบว่าระบบมีค่าความแม่นยำ(Precision)อยู่ที่0.9503ประสิทธิภาพในการค้นหา
 ข้อมูลตามวงจรการเลี้ยงปลาในกระชังได้อย่างแม่นยำอยู่ถึงร้อยละ95.03สำหรับค่าความระลึก
 (Recall)อยู่ที่0.9752สามารถบ่งชี้ว่าระบบสามารถค้นหาข้อมูลที่มีอยู่จริงได้อย่างถูกต้อง
 ถึงร้อยละ97.52ระบบมีอัตราความผิดพลาดในกรณีที่ไม่สามารถค้นหาข้อมูลที่มีอยู่ในระบบ
 ประมาณร้อยละ2.48สำหรับประสิทธิภาพโดยภาพรวมของระบบผู้วิจัยได้นำค่าความแม่นยำและ
 ค่าความระลึกมาคำนวณหาค่าความเหวี่ยง(F-Measure)พบว่าระบบมีประสิทธิภาพในการค้นหาใน
 ภาพรวมอยู่ที่ร้อยละ94.57ระบบมีประสิทธิภาพในการค้นหาในภาพรวมอยู่ในระดับดีมาก
 สำหรับผลการประเมินความพึงพอใจที่มีต่อระบบสารสนเทศที่พัฒนาขึ้นอยู่ในระดับมาก",MIS
"การวิจัยในครั้งนี้เป็นการวิจัยเชิงทดลองมีวัตถุประสงค์เพื่อพัฒนาและหาประสิทธิภาพ
 บทเรียนคอมพิวเตอร์ช่วยสอนบนระบบเครือข่ายวิชาระบบเครือข่ายเบื้องต้นเรื่องความรู้เบื้องต้น
 เกี่ยวกับระบบเครือข๋าย(2201–2415)และเพื่อเปรียบเทียบผลสัมฤทธิ์ทางการเรียนของผู้เรียนด้วย
 วิธีการสอนโดยใช้บทเรียนคอมพิวเตอร์ช่วยสอนบนระบบเครือข่ายกับผู้เรียนที่เรียนด้วยวิธีการสอน
 ปกติรวมทั้งการศึกษาความพึงพอใจของผู้เรียนที่เรียนด้วยบทเรียนคอมพิวเตอร์ช่วยสอนบนระบบ
 เครือข่ายกลุ่มตัวอย่างที่ใช้ในการวิจัยคือนักเรียนระดับชั้นประกาศนียบัตรวิชาชีพปีที่3จํานวน
 60คนโดยคัดเลือกแบบเจาะจงได้แก่กลุ่มทดลองที่เรียนโดยบทเรียนWBIจํานวน30คนและกลุ่ม
 ควบคุมจํานวน30คนเรียนด้วยวิธีการสอนปกติเครื่องมือที่ใช้ในการวิจัยคือ
 1)บทเรียนWBIเรื่องความรู้เบื้องต้นเกี่ยวกับระบบเครือข่ายวิชาระบบเครือข่ายเบื้องต้น
 2)แบบทดสอบการหาประสิทธิภาพและผลสัมฤทธิ์ทางการเรียน3)แบบสอบถามความพึง
 พอใจ
 ผลการวิจัยพบว่าบทเรียนWBIที่พัฒนาขึ้นมีประสิทธิภาพ83.44/82.44สูงกว่าเกณฑ์ที่
 กําหนดไว้คือ80/80ส่วนผลการเปรียบเทียบผลสัมฤทธิ์ทางการเรียนของนักเรียนที่เรียนโดยใช้
 บทเรียนWBIกับนักเรียนที่เรียนแบบปกติแตกต่างกันอย่างมีนัยสําคัญทางสถิติที่.05และ
 นักเรียนมีความพึงพอใจต่อบทเรียนWBIที่พัฒนาขึ้นในระดับมาก(X=4.26,S.D=0.43)",CAI
"ปัญหาพิเศษฉบับนี้มีวัตถุประสงค์เพื่อ1)พัฒนาบทเรียนคอมพิวเตอร์ช่วยสอนบนระบบเครือข่าย
 ด้วยกิจกรรมการเรียนรู้แบบร่วมมือเทคนิคSTADวิชาคอมพิวเตอร์กราฟิกชั้นมัธยมศึกษาปีที่42)หา
 ประสิทธิภาพของบทเรียนคอมพิวเตอร์ช่วยสอนบนระบบเครือข่ายที่พัฒนาขึ้น3)เปรียบเทียบผลสัมฤทธิ์
 ทางการเรียนของผู้เรียนก่อนและหลังการเรียนด้วยบทเรียนคอมพิวเตอร์ช่วยสอนบนระบบเครือข่ายที่
 พัฒนาขึ้นด้วยกิจกรรมการเรียนรู้แบบร่วมมือเทคนิคSTADกลุ่มตัวอย่างที่ใช้ในการทดลองนี้คือนักเรียน
 โรงเรียนเบญจมราชูทิศจังหวัดจันทบุรีจำนวน40คนซึ่งได้มาโดยการเลือกแบบเจาะจงผลการศึกษา
 พบว่าประสิทธิภาพของบทเรียนคอมพิวเตอร์ช่วยสอนบนระบบเครือข่ายวิชาคอมพิวเตอร์กราฟิกชั้น
 มัธยมศึกษาปีที่4ที่พัฒนาขึ้นมีค่าเท่ากับ82.79/81.43โดยมีประสิทธิภาพสูงกว่าเกณฑ์มาตรฐานที่ตั้งไว้
 คือ80/80และผลสัมฤทธิ์ทางการเรียนของผู้เรียนหลังการเรียนด้วยบทเรียนคอมพิวเตอร์ช่วยสอนบน
 ระบบเครือข่ายที่พัฒนาขึ้นด้วยกิจกรรมการเรียนรู้แบบร่วมมือเทคนิคSTADในภาพรวมมีค่าเฉลี่ยสูงกว่า
 ก่อนเรียนด้วยบทเรียนอย่างมีนัยสำคัญทางสถิติที่ระดับ.05",WBI
"การวิจัยครั้งนี้มีวัตถุประสงค์เพื่อพัฒนาหาประสิทธิภาพและเปรียบเทียบผลสัมฤทธิ์ทางการเรียนบทเรียนคอมพิวเตอร์ช่วยสอนบนเครือข่ายอินเทอร์เน็ตวิชาปฏิบัติการประกอบเครื่องคอมพิวเตอร์สาขาคอมพิวเตอร์ธุรกิจวิทยาลัยอาชีวศึกษาร้อยเอ็ดกลุ่มตัวอย่างที่ใช้ในการวิจัยครั้งนี้เป็นนักศึกษาระดับปวส.ชั้นปีที่2แผนกวิชาคอมพิวเตอร์ศึกษาของวิทยาลัยอาชีวศึกษาร้อยเอ็ดภาคเรียนที่2/2554จำนวน32คนโดยใช้วิธีการเลือกแบบเจาะจงเครื่องมือที่ใช้ในการวิจัยได้แก่บทเรียนคอมพิวเตอร์ช่วยสอนบนเครือข่ายอินเทอร์เน็ตแบบทดสอบก่อนเรียนและหลังเรียนจากนั้นเก็บรวบรวมข้อมูลที่ได้จากผู้เชี่ยวชาญและผู้เรียนมาวิเคราะห์โดยใช้สถิติการหาค่าเฉลี่ย(Mean)ค่าเบี่ยงเบนมาตรฐาน(S.D.)ทดสอบประสิทธิภาพโดยใช้สูตรเมกุยแกนส์และวัดผลสัมฤทธิ์ทางการเรียนโดยใช้สถิติทดสอบที(Dependentt-test)
 ผลวิจัยพบว่าบทเรียนที่พัฒนาขึ้นมีประสิทธิภาพโดยรวมมีค่าเท่ากับ1.56ซึ่งสอดคล้องกับสมมติฐานที่ตั้งไว้นอกจากนี้คะแนนผลสัมฤทธิ์จากการทำแบบทดสอบหลังเรียนของนักเรียนสูงกว่าการทำแบบทดสอบก่อนเรียนอย่างมีนัยสำคัญทางสถิติที่ระดับ.05สรุปได้ว่าบทเรียนคอมพิวเตอร์ช่วยสอนบนเครือข่ายอินเทอร์เน็ตวิชาปฏิบัติการประกอบเครื่องคอมพิวเตอร์ที่พัฒนาขึ้นมีประสิทธิภาพสามารถนำไปใช้ในการเรียนการสอนสำหรับนักศึกษาแผนกวิชาคอมพิวเตอร์ธุรกิจวิทยาลัยร้อยเอ็ดได้",WBI
"การวิจัยครั้งนี้มีวัตถุประสงค์เพื่อ1)พัฒนาบทเรียนคอมพิวเตอร์ซ่วยสอนบนอินเทอร์เน็ต
 รายวิชาการพัฒนาเว็บไซต์ด้วยโปรแกรมสำเร็จรูปช่วงชั้นที่4โดยใช้เทคนิคการเรียนรู้แบบเพื่อนคู่คิด
 2)หาประสิทธิภาพของบทเรียนคอมพิวเตอร์ช่วยสอนบนอินเทอร์เน็ตที่พัฒนาขึ้น3)เปรียบเทียบ
 ผลสัมฤทธิ์ทางการเรียนก่อนและหลังเรียนของผู้เรียนที่เรียนด้วยบทเรียนคอมพิวเตอร์ช่วยสอนบน
 อินเทอร์เน็ตที่พัฒนาขึ้นโดยใช้การทดสอบค่าที(t-test)
 กลุ่มทดลองในการวิจัยเป็นนักเรียนช่วงชั้นที่ภาคเรียนที่2/2554ได้มาจากการคัดเลือก
 แบบเจาะจงจำนวน46คนจับกลุ่ม23คู่เครื่องมือประกอบด้วยบทเรียนคอมพิวเตอร์ช่วยสอนบน
 หลังเรียน
 อินเทอร์เน็ตจำนวน4หน่วยแบบทดสอบก่อนเรียนแบบทดสอบท้ายบทเรียนและแบบทดสอบ
 ผลการวิจัยพบว่าบทเรียนนี้ฟัฒนาขึ้นมีประสิทธิภาพ89.29/87.07ซึ่งสูงกว่าเกณฑ์80/80
 ตามที่ตั้งสมมติฐานไว้และผลเชิงเปรียบเทียบผลสัมฤทธิ์ทางการเรียนของผู้เรียนด้วยการทดสอบค่าที
 (t-test)พบว่าผลสัมฤห์ธิ์ทางการเรียนหลังเรียนสูงกว่าก่อนเรียนอย่างมีนัยสำคัญทางสถิติที่ระดับ
 .05จึงสรุปได้ว่าบทเรียนคอมพิวเตอร์ช่วยสอนบนอินเทอร์เน็ตที่พัฒนาขึ้นสามารถนำไปใช้กับกลุ่มเป้าหมายได้",CAI
"สำนักงานหลักประกันสุขภาพแห่งชาติเป็นองค์กรขนาดใหญ่มีบุคลากรประมาณ800คนซึ่ง
 จำเป็นต้องมีการพัฒนาบุคลากรให้มีความรู้ในด้านต่างๆอย่างต่อเนื่องและทั่วถึงตั้งแต่ปีพ.ศ.2550
 ได้มีการจัดหลักสูตรการฝึกอบรมไปทั้งสิ้น292หลักสูตรและมีจำนวนผู้ข้ารับการอบรมจำนวน
 2,451คนจึงทำให้เกิดปัญหาด้านการคัดเลือกและสืบค้นข้อมูลผู้วิจัยจึงได้พัฒนาระบบจัดการ
 คัดเลือกผู้เข้าอบรมขึ้นเพื่อใช้จัดการข้อมูลการจัดอบรมรวมถึงการคัดกรองผู้สมัครเข้าอบรมโดย
 ใช้เทคโนโลยี.NetFrameworkและเชื่อมโยงไปยังฐานข้อมูลOracleซึ่งผลจากการทดลองใช้งาน
 โดยประเมินจากผู้เชี่ยวชาญจำนวน6ท่านพบว่าระบบมีประสิทธิภาพในระดับดีมีค่าเฉลี่ยเท่ากับ
 4.29และเมื่อนำระบบไปให้ผู้ใช้งานจำนวน30คนทดลองใช้พบว่าผู้ใช้มีความพึงพอใจระดับมาก
 ซึ่งมีค่าเฉลี่ยเท่ากับ4.43สรุปได้ว่าระบบจัดการคัดเลือกผู้เข้าอบรมสามารถนำไปใช้งานได้จริง",MIS
