 ชื่อไทย,Title Eng,ชื่อผู้ทำ1,นามสกุลผู้ทำ1,ชื่ิอผู้ทำ2,นามสกุลผู้ทำ2,ชื่ิอผู้ทำ3,นามสกุลผู้ทำ3,อาจารย์ที่ปรึกษา,ที่ปรึกษาร่วม1,ที่ปรึกษาร่วม2,ประเภท,Thesis,ประเภทของโปรเจค,ภาควิชา,ปีการศึกษา,บทคัดย่อ
ระบบจัดการข้อมูลโฮมเพจพิธีรับพระราชทานปริญญาบัตร,Content Management System for Home Page of Commencement Ceremony,ธีระชัย,กองอุดม,จักรกฤษ,คงสีพุทธ,,,จิรพันธุ์ ศรีสมพันธุ์,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),MIS,ภาควิชาคอมพิวเตอร์ศึกษา,2548,"โฮมเพจพิธีรับพระราชทานปริญญาบัตรเป็นโฮมเพจที่ใช้เผยแพร่ข้อมูลข่าวสารต่างๆ ที่
เกี่ยวกับพิธีรับพระราชทานปริญญาบัตร เช่น สำเนาพระราโชวาท ข้อแนะนำและข้อควรทราบ
ข้อปฏิบัติและข้อห้าม ระเบียบการแต่งกายของบัณฑิต การถือปริญญาบัตร การถวายความ
เดารพ และรูปแบบการเข้ารับพระราชทาน รวมไปถึงประมวลภาพพิธีรับพระราชทานปริญญา
บัตร แผนที่รับปริญญา บทเพลงและเนื้อร้อง เว็บบอร์ดและข่าวสารทั่ว ๆไปที่เกี่ยวกับพิธีรับ
พระราชทานปริญญาบัตร
ความสามารถของเว็บไซต์ อ ทำงานภายใต้ระบบปฏิบัติการ Windows98 ขึ้นไป และใช้
โปรแกรมเว็บบราวเซอร์ เป็นตัวแสดงผล โดยจะเน้นที่โปรแกรม Microsoft Internet Explorer
เป็นหลัก ติดต่อกับผู้ใช้โดยใช้เมาส์และคีย์บอร์ดเป็นหลัก
จากการทดสอบการทำงานของระบบพบว่า ทำงานได้ตามวัตถุประสงค์ และขอบเขตของ
โครงงานที่กำหนดไว้"
การพัฒนาบทเรียนคอมพิวเตอร์ช่วยสอน เรื่องการใช้เครื่องมือในการวิเคราะห์ระบบ วิชาการวิเคราะห์และออกแบบระบบ ระดับชั้นประกาศนียบัตรวิชาชีพชั้นสูง สำนักงานคณะกรรมการการอาชีวศึกษา,"A Development Computer Assisted Instruction on the topic ‘Tools in work System Analysis’forthe subject ‘Analysis Systemand Design’, High Vocational Diploma Curriculum Vocational Education Commission",นรี,ชารีจริต,,,,,จิรพันธุ์ ศรีสมพันธุ์,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),CAI,ภาควิชาคอมพิวเตอร์ศึกษา,2549,"การวิจัยครั้งนี้เป็นการวิจัยเชิงทดลอง มีวัตถุประสงค์เพื่อหาประสิทธิภาพและเปรียบเทียบหา
สัมฤทธิ์ทางการเรียน เรื่องการใช้เครื่องมือในการวิเคราะห์ระบบงนวิชาการวิเคราะห์และออกแบบ
ระบบ โดยการเปรียบเทียบการเรียน โดยใช้บทเรียนคอมพิวเตอร์ช่วยสอนกับการเรียน โดยปกติ
ระดับชั้นประกาศนียบัตรวิชาชีพชั้นสูง  สำนักงานคณะกรรมการการอาชีวศึกษาโดยมีสมมดิฐาน
ทางการวิจัยไว้ว่า บทเรียนคอมพิวเตอร์ช่วยสอนที่สร้างขึ้นมีประสิทธิภาพตามเกณท์ 75/75 กลุ่ม
ตัวอย่างของานวิจัยครั้งนี้เป็นนักศึกษาชั้นปีที่ 2 สาขาคอมพิวเตอร์ธุรกิจโรงเรียนพณิชยการสุโขทัย
ปีการศึกษา 2549  จำนวน  30  คนโดยการเลือกกลุ่มตัวอย่างแบบการสุ่มอย่างง่ายซึ่งเรียนด้วย
บทเรียนคอมพิวเตอร์ช่วยสอนเป็นรายบุคคลจำนวน  3หน่วยการเรียนในระหว่างเรียนจบแต่ละ
หน่วยการเรียนทำแบบทดสอบท้ายบท เมื่อเรียนครบทุกหน่วยการเรียนแล้ว  ทำแบบทดสอบหลัง
เรียนแล้วนำผลการทคลองมาหาค่าประสิทธิภาพของบทเรียน
โดยผลการวิจัยพบว่าบทเรียนคอมพิวเตอร์ช่วยสอน เรื่องการใช้เครื่องมือในการวิเคราะห์
ระบบงานวิชาการวิเคราะห์และออกแบบระบบมีประสิทธิภาพ 76.22/88.89 สูงกว่าเกณฑ์ 75/75 ที่
กำหนดไว้ในสมมติฐานและพบว่าผู้เรียนมีผลสัมฤทธิ์ทางการเรียนสูงขึ้นอย่างมีนัยสำคัญทางสถิติที่
ระดับ .05 สามารถนำไปใช้ในการเรียนการสอน วิชาการวิเราะห์และออกแบบระบบ สำหรับ
นักศึกษาตามระดับชั้นประกาศนียบัตรวิชาชีพชั้นสูง สำนักงานคณะกรรมการการอาชีวศึกษาได้"
การพัฒนาบทเรียนคอมพิวเตอร์ช่วยสอนบนเครือข่ายสำหรับฝึกอบรมครู-อาจารย์ เรื่อง การสร้างบทเรียนคอมพิวเตอร์ช่วยสอน,The Development of Computer Assisted Instruction on Web-based Instruction for Teachers Training Course.,พัชรินทร์,จันทร์นาง,,,,,จิรพันธุ์ ศรีสมพันธุ์,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),CAI,ภาควิชาคอมพิวเตอร์ศึกษา,2549,"การวิจัยครั้งนี้เป็นการวิจัยเชิงทดลอง โดยใช้การทดสอบแบบแผนการทดลองที่มีกลุ่ม
ทดลองหนึ่งกลุ่มทำการทดสอบก่อนทดลองและทดสอบหลังทดลอง (One Group Pretest-
Posttest Design) มีวัตถุประสงค์เพื่อพัฒนาและหาประสิทธิภาพบทเรียนคอมพิวเตอร์ช่วยสอน
บนเครือข่ายสำหรับ ฝึกอบรมครู-อาจารย์ เรื่อง การสร้างบทเรียนดอมพิวเตอร์ช่วยสอน รวมทั้ง
สำรวจความพึงพอใจของครู-อาจารย์ต่อการใช้บทเรียนที่สร้างขึ้น กลุ่มตัวอย่างในครั้งนี้เป็น
คณะอาจารย์จากโรงเรียนในสังกัดของสำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน ที่เข้ารับ
การอบรมในหลักสูตรการสร้างสื่อการสอน ที่ได้มาจากการเลือกแบบสุ่มอย่างง่ายจำนวน 30 คน
เครื่องมือที่ใช้ในการวิจัยครั้งนี้ประกอบด้วยแบบทดสอบก่อนและหลังเรียน แบบทดสอบรวม
แบบสอบถามสำหรับผู้เรียน สำหรับผู้เชี่ยวชาญด้านเนื้อหา และด้านเทคนิควิธีการ
การวิจัยครั้งนี้พบว่าบทเรียนดังกล่าวมีประสิทธิภาพ 88.33/85.11 ซึ่งสูงกว่าเกณฑ์ 85/85
ที่ตั้งสมมติฐานไว้ และผลสัมฤทธิ์ทางการเรียนของผู้เรียน พบว่าผลสัมฤทธิ์ทางการเรียนหลัง
เรียนสูงกว่าก่อนเรียนอย่างมีนัยสำคัญทางสถิติ .01นอกจากนี้แล้วความพึงพอใจของผู้ใช้
บทเรียนต่อบทเรียนอยู่ในระดับมาก สรุปได้ว่าบทเรียนดอมพิวเตอร์ช่วยสอนบนเดรือข่าย เรื่อง
การสร้างบทเรียนกอมพิวเตอร์ช่วยสอนสามารถนำไปใช้ในการเรียนการสอนสำหรับครู-อาจารย์
ตามหลักสูตรของสถาบันได้"
โปรแกรมฝึกเขียนพยัญชนะไทย,Thai Handwriting Practice Program,วาว,วรรณรัตน์,,,,,จิรพันธุ์ ศรีสมพันธุ์,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),CAI,ภาควิชาคอมพิวเตอร์ศึกษา,2549,"โครงงานนี้มีวัตถุประสงค์เพื่อพัฒนาโปรแกรมฝึกเขียนพยัญชนะไทย ซึ่งนับว่ามีบทบาท
สำคัญต่อการศึกษาในปัจจุบัน และเป็นสิ่งหนึ่งที่ทำให้ผู้เรียนเข้าใจและสนใจในบทเรียนเพิ่ม
มากขึ้น โดยโครงงานนี้มีวัตถุประสงค์เพื่อสร้างโปรแกรมฝึกเขียนพชัญชนะไทย ภายใน
บทเรียนมีการนำเสนอเนื้อหาพชัญชนะดั้งแต่ ก-ฮ เป็นภาพการ์ตูนเคลื่อนไหวประกอบเสียง
บรรยาย เป็นกิจกรรมฝึกเขียนตามลำดับของการเขียนตัวอักษรพชัญชนะไทย ก-ฮ โดยได้นำเอา
โปรแกรม Macromedia  Flash 8 มาใช้ในการพัฒนาโปรแกรมฝึกเขียนพยัญชนะไทย จัดได้ว่า
เป็นสื่อตัวหนึ่ง ที่นำมาใช้ประกอบการเรียนการสอนได้
ผลการดำเนินงานได้นำเอาพขัญชนะภายาไทยมาทั้ง 44 ตัว มานำเสนอการเขียนในรูปแบบ
2 มิติ โดยมีภาพการ์ตูนและเสียงบรรยายประกอบ เพื่อให้นักเรียนเข้าใจในตัวยัญชนะภาษาไทย
ากขึ้น ผลเป็นไปตามขอบเขตที่ได้กำหนดไว้"
การสร้างและหาประสิทธิภาพของบทเรียนคอมพิวเตอร์ช่วยสอนบนเครือข่ายอินเทอร์เน็ต วิชาเทคโนโลยีเครือข่ายระบบเปีดสำหรับนักศึกษาระดับประกาศนีขบัตรวิชาชีพชั้นสูง (ปวส.)มหาวิทยาลัยเทคโนโลยีราชมงคลสุวรรณภูมิ,Web-Based Instruction on Open System Network Technology,วรรณภา,องอาจ,,,,,จิรพันธุ์ ศรีสมพันธุ์,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),CAI,ภาควิชาคอมพิวเตอร์ศึกษา,2549,"การวิจัยครั้งนี้ มีวัตถุประสงค์เพื่อสร้างและหาประสิทธิภาพบทเรียนคอมพิวเตอร์ช่วยสอน
บนอินเทอร์เน็ต รามถึงเพื่อเปรียบเทียบผลสัมฤทธิ์ทางการเรียน อีกทั้งเพื่อศึกษาความพึงพอใจ ของ
บทเรียนคอมพิวเตอร์ช่วยสอนบนเครือข่ายอินเทอร์เน็ต วิชาเทคโนโลขีเครือข่ายระบบเปิด กลุ่ม
ตัวอย่างที่นำมาศึกษาในครั้งนี้ เป็นนักศึกษาระดับประกาศนีขบัตรวิชาชีพชั้นสูง (ปวส.)
มหาวิทยาลัยเทคโนโลชีราชมงคลสุวรรณภูมิ วิทยาเขตสุพรรณบุรี โดยได้จากการเลือกแบบเจาะจง
1 ห้องเรียน จำนวน 16 คน รูปแบบบทเรียนที่สร้างขึ้นประกอบด้วย ระบบการจัดการบทเรียน
ระบบจัดการข้อมูลผู้ใช้งาน และ ระบบจดจำประวัติการเรียน เครื่องมือที่ใช้ในการวิจัยได้แก่
บทเรียนคอมพิวเตอร์ช่วยสอนบนเครื่อข่ายอินเทอร์เน็ต วิชาเทคโนโลยีเครือข่ายระบบเปิด
แบบทดสอบก่อนเรียนและหลังเรียน แบบสอบถามสำหรับผู้เชี่ยวชาญค้านเทคนิดและเนื้อหาและ
แบบสอบถามความพึงพอใจต่อการใช้ระบบของผู้เรียน
ผลการวิจัยปรากฏว่ บทเรียนคอมพิวเตอร์ช่วยสอนบนเครือข่ายอินเทอร์เน็ต วิชาเทคโนโลยี
เครือข่ายระบบเปิดนี้ หาประสิทธิภาพบทเรียนคอมพิวเตอร์ช่วยสอนบนอินเทอร์เน็ด มี
ประสิทธิภาพ 84.57/82.14 ซึ่งสูงกว่าเกณฑ์ 80/80 ผลสัมฤทธิ์ทางการเรียนบทเรียนคอมพิวเตอร์
ช่วยสอนบนเครือข่ายอินเทอร์เน็ต วิชาเทคโนโลขีเครือข่ายระบบเปิด หลังเรียนสูงขึ้นกว่าก่อนเรียน
อย่างมีนัยสำคัญทางสถิติที่ระดับ .05 และผู้เรียนมีความพึงพอใจต่อการใช้บทเรียนอยู่ในระดับดี"
การสร้างชุดฝึกอบรมสำหรับการปฐมนิเทศพนักงานใหม่ ของบริษัทไทย เอ็น โอ เค จำกัด,Computer Based Training for New Employee Orientation,สมรัก,น้อยเจริญ,,,,,จิรพันธุ์ ศรีสมพันธุ์,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),CBT,ภาควิชาคอมพิวเตอร์ศึกษา,2549,"การวิจัยครั้งนี้มีวัตถุประสงค์เพื่อพัฒนาและหาประสิทธิภาพรวมทั้งเปรียบเทียบ
ผลสัมฤทธิ์ทางการเรียนด้วยชุดฝึกอบรมสำหรับปฐมนิเทศพนักงานใหม่ ของบริษัทไทย เอ็น โอ
เค จำกัด  ทดลองใช้กับกลุ่มตัวอย่างเป็นพนักงานใหม่ของบริษัท ไทย เอ็น โอ เค จำกัด
จำนวน 30  คน เครื่องมือที่ใช้ในการวิจัยในครั้งนี้ได้แก่ ชุดฝึกอบรมสำหรับการปฐมนิเทศ
พนักงานใหม่ แบบทดสอบก่อนเรียน แบบทดสอบระหว่างเรียน แบบทดสอบหลังเรียน
ผลการวิจัยพบว่าชุดฝึกอบรมสำหรับการปฐมนิเทศพนักงานใหม่ของบริษัทไทย เอ็น โอ
เด จำกัด ที่สร้างขึ้นมานั้นมีประสิทธิภาพ 80.42/81.58 และการทดสอบวัดผลสัมฤทธิ์ของผู้ใช้
ชุดฝึกอบรมฯ มีความรู้เพิ่มขึ้นอย่างมีนัยสำคัญทางสถิติที่ระดับ .05 แสดงว่าชุดฝึกอบรมฯ
ดังกล่าวสามารถนำไปใช้ในการฝึกอบรมฯ พนักงานใหม่ของบริษัท ไทย เอ็น โอ เค จำกัดได้"
โปรแกรมมัลติมีเดียเรื่อง นิทานพื้นบ้านไทย,Multimedia Story of Thai’s Folk Tales,ปณพัฒ,เปรมจิตต์,,,,,จิรพันธุ์ ศรีสมพันธุ์,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),SW,ภาควิชาคอมพิวเตอร์ศึกษา,2549,"โครงงานเรื่อง มัลติมีเดียนิทานพื้นบ้านไทย จัดทำขึ้นเพื่อเป็นการส่งเสริมและเผย
แพร่นิทานพื้นบ้านไทย ให้เป็นที่รู้จักและแพร่หลาย โดยนำเสนอในรูปแบบของมัลติมีเดีย ผู้รับชม
จะได้ชมเนื้อเรื่องของนิทานพื้นบ้านไทยจำนวน 3 เรื่อง คือ เรื่องพระยากงพระยาพาน เรื่อง
พระสุธนมโนห์รา เรื่องเมขลารามสูร ในลักษณะของการ์ตูน 2 มิติประกอบเสียงบรรยาย และ
สามารถที่จะเลือกเล่นเกมภายใน โปรแกรมมัลติมีเดียได้ ซึ่งการทำงานของโปรแกรม ผู้เล่นจะได้
รับชมเนื้อเรื่อง เมื่อเนื้อเรื่องในตอนนั้นๆ  จบ  ผู้เล่นจะต้องเล่นเกมที่สอดคล้องกับสถานการณ์
ตามที่เงื่อนไขของเกมกำหนดขึ้นมาเพื่อที่ จะได้รับชมเนื้อเรื่องในตอนถัดไป ในส่วนของการควบคุม
เกมนั้น สามารถควบคุมเกมได้โดยใช้เมาส์ และในส่วนของตัวมัลติมีเดียในเรื่องของการอัดเสียง
และตัดต่อเสียง จะกระทำโดยใช้โปรแกรม Cool Edit Pro V2.0 และใช้โปรแกรม Macromedia
Flash MX 2004 ในการสร้างและนำเสนอมัลติมีเดีย เรื่องนิทานพื้นบ้านไทย
หลังจากได้ทำการทดสอบการทำงานของมัลติมีเดีย นิทานนิทานพื้นบ้านไทยแล้ว
สามารถรับชมเนื้อเรื่อง ได้ทั้ง 3 เรื่อง และเล่นเกมได้ โดยเกมสามารถดำเนินไปตามขอบเขตที่
กำหนดไว้ทุกประการ จากการทดสอบการทำงานของโปรแกรมมัลติมีเดียสามารถเล่นได้ตามขอบ
เขตที่ได้กำหนดไว้"
การพัฒนาและหาประสิทธิภาพบทเรียนคอมพิวเตอร์ช่วยสอนบนระบบเครือข่าย เรื่องโครงสร้างข้อมูล ระดับประกาศนีขบัตรวิชาชีพชั้นสูง หลักสูตรกรมอาชีวศึกษา,The Development of Web-based Instruction for Course “Data Structure” for Higher Vocational Certificate Level According to Curriculumn of Vocational,สิริพาพร,ยืนสุข,,,,,จิรพันธุ์ ศรีสมพันธุ์,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),WBI,ภาควิชาคอมพิวเตอร์ศึกษา,2549,"การวิจัขครั้งนี้เป็นการวิจัยเชิงทดลอง มีวัตถุประสงค์เพื่อพัฒนาและหาประสิทธิภาพ
บทเรียนคอมพิวเตอร์ช่วยสอนบนระบบเครื่อข่าย เพื่อเปรียบเทียบผลสัมฤทธิ์ทางการเรียน ก่อน
เรียนกับหลังเรียนด้วยบทเรียนคอมพิวเตอร์ช่วยสอนบนระบบเครื่อข่ายที่สร้างขึ้น กลุ่มตัวอย่างที่
นำมาศึกษาในครั้งนี้เป็นนักศึกษา ระดับประกาศนีขบัตรวิชาชีพชั้นสูงจำนวน 30 คน ซึ่งได้จากการ
เลือกแบบการสุ่มอย่างง่าข เครื่องมือที่ใช้ในการวิจัย ได้แก่ บทเรียนคอมพิวเตอร์ช่วยสอนบนระบบ
เครือข่าย แบบทดสอบก่อนเรียน แบบทดสอบหลังเรียน แบบทดสอบรวม และแบบสอบถาม
สำหรับผู้เชี่ยวชาญ ค้านเนื้อหา และด้านเทคนิค
ผลการวิจัยครั้งนี้พบว่าบทเรียนคอมพิวเตอร์ช่วยสอนบนระบบเครือข่าย มีประสิทธิภาพ
88.60 /87.74 ซึ่งสูงกว่าเกณฑ์ 85/8 ที่ตั้งสมมติฐานไว้ ทำให้ผลสัมฤทธิ์ทางการเรียนของผู้เรียน
หลังจากได้รับการเรียนการสอนด้วยบทเรียน สูงขึ้นอย่างมีนัยสำคัญที่ระดับ .05"
การพัฒนาบทเรียนคอมพิวเตอร์ช่วยสอนบนเครือข่ายสาหรับฝึกอบรมครู-อาจารย์ เรื่อง การสร้างบทเรียนคอมพิวเตอรช่วยสอน,,พัชรินทร์,จันทร์นาง,,,,,จิรพันธุ์ ศรีสมพันธุ์,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),WBI,ภาควิชาคอมพิวเตอร์ศึกษา,2549,การวิจัยครั้งนี้เป็นการวิจัยเชิงทดลอง โดยใช้การทดสอบแบบแผนการทดลองที่มีกลุ่มทดลองหนึ่งกลุ่มทําการทดสอบก่อนทดลองและทดสอบหลังทดลอง (One Group Pretest-Posttest Design) มีวัตถุประสงค์เพื่อพัฒนาและหาประสิทธิภาพบทเรียนคอมพิวเตอร์ช่วยสอนบนเครือข่ายสําหรับ ฝากอบรมครู-อาจารย์เรื่อง การสร้างบทเรียนคอมพิวเตอร์ช่วยสอน รวมทั้งสํารวจความพึงพอใจของครู-อาจารย์ต่อการใช่บทเรียนที่สร้างขึ้น กลุ่มตัวอย่างในครั้งนี้เป็นคณะอาจารย์จากโรงเรียนในสังกัดของสํานักงานคณะกรรมการการศึกษาขั้นพื้นฐาน ที่เข้ารับการอบรมในหลักสูตรการสร้างสื่อการสอน ที่ได้มาจากการเลือกแบบสุ่มอย่างง่ายจํานวน 30 คนเครื่องมือที่ใช้ในการวิจัยครั้งนี้ประกอบด้วยแบบทดสอบก่อนและหลังเรียน แบบทดสอบรวมแบบสอบถามสําหรับผู้เรียน สําหรับผู้เชี่ยวชาญด้านเนื้อหา และด้านเทคนิควิธีการการวิจัยครั้งนี้พบว่าบทเรียนดังกล่าวมีประสิทธิภาพ 88.33/85.11 ซึ่งสูงกว่าเกณฑ์ 85/85ที่ตั้งสมมติฐานไว้ และผลสัมฤทธิ์ทางการเรียนของผู้เรียน พบว่าผลสัมฤทธิ์ทางการเรียนหลังเรียนสูงกว่าก่อนเรียนอย่างมีนัยสําคัญทางสถิติ .01 นอกจากนี้แล้วความพึงพอใจของผู้ใช้บทเรียนต่อบทเรียนอยู่ในระดับมาก สรุปได้ว่าบทเรียนคอมพิวเตอร์ช่วยสอนบนเครือข่าย เรื่องการสร้างบทเรียนคอมพิวเตอร์ช่วยสอนสามารถนําไปใช่ในการเรียนการสอนสําหรับครู–อาจารย์ตามหลักสูตรของสถาบันได้
การพัฒนาและหาประสิทธิภาพบทเรียนคอมพิวเตอร์ช่วยสอนบนเครือข่ายอินเทอร์เน็ต วิชาการผลิตสื่อสิ่งพิมพ์,The Development and Efficiency Finding of Web Based Instruction in Publishing Production,วัฒนชัย,ชูสังข์,,,,,จิรพันธุ์ ศรีสมพันธุ์,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),WBI,ภาควิชาคอมพิวเตอร์ศึกษา,2549,"การวิจัยครั้งนี้มีจุดประสงค์ เพื่อพัฒนาและหาประสิทธิภาพบทเรียนคอมพิวเตอร์ช่วยสอน
บนเครือข่ายอินเทอร์เน็ต วิชาการผลิตสื่อสิ่งพิมพ์ สาขาคอมพิวเตอร์ธุรกิจ ระดับประกาศนียบัตร
วิชาชีพ (ปวช.) และเปรียบเทียบผลสัมฤทธิ์ทางการเรียนของผู้เรียนก่อนเรียนและหลังเรียนด้วย
บทเรียนที่พัฒนาขึ้น กลุ่มตัวอย่างในครั้งนี้เป็นนักศึกษาระดับประกาศนียบัตรวิชาชีพ ชั้นปีที่ 2
สาขาคอมพิวเตอร์ธุรกิจ โรงเรียนจรัลสนิทวงศ์บริการธุรกิจ ภาคเรียนที่ 2 ปีการศึกษา 2549
โดยวิธีการเลือกอย่างเจาะจง จำนวน 30 คน เครื่องมือที่ใช้ในการวิจัยครั้งนี้ประกอบด้วย
แบบทดสอบก่อนและหลังเรียน แบบทดสอบของบทเรียนแต่ละชุด ผู้เชี่ยวชาญด้านเนื้อหาและ
ผู้เชี่ยวชาญด้านเทคนิควิธีการ
ผลการวิจัยพบว่า บทเรียนคอมพิวเตอร์ช่วยสอนที่พัฒนาขึ้น มีประสิทธิภาพ 87.50/85.95
ซึ่งสูงกว่าเกณฑ์ 85/85  ที่ตั้งไว้ตามสมมติฐาน และมีผลสัมฤทธิ์ทางการเรียนหลังเรียนสูงกว่า
ก่อนเรียนด้วยบทเรียนคอมพิวเตอร์ช่วยสอนบนเครือข่ายอินเทอร์เน็ต วิชาการผลิตสื่อสิ่งพิมพ์
อย่างมีนัยสำคัญทางสถิติที่ระดับ .05"
การสร้างและหาประสิทธิภาพบทเรียนคอมพิวเตอร์ช่วยสอนบนเครือข่าย เรื่อง การสร้างหนังสืออิเล็กทรอนิกส์โดยใช้โปรแกรม Flip Publisher ช่วงชั้นที่ 2,Web Based Instruction on Developing an Electronic Book by Flip Publisher for Second Level Students.,ชุติมา,พันธ์ไพโรจน์,,,,,จิรพันธุ์ ศรีสมพันธุ์,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),WBI,ภาควิชาคอมพิวเตอร์ศึกษา,2549,"การศึกษาเรื่องการสร้างและหาประสิทธิภาพบทเรียนคอมพิวเตอร์ช่วยสอนบนเครือข่าย
เรื่อง การสร้างหนังสืออิเล็กทรอนิกส์โดยใช้โปรแกรมฟลิปพับบลิชเชอร์ (Flipublisher)
สำหรับช่วงชั้นที่ 2 มีวัตถุประสงค์ ดังนี้ เพื่อสร้างและหาประสิทธิภาพของบทเรียนคอมพิวเตอร์
บนเครือข่าย ให้ได้ตามเกณฑ์มาตรฐาน 80/80  เพื่อเปรียบเทียบผลสัมฤทธิ์ทางการเรียนก่อน
และหลังเรียนด้วยบทเรียนคอมพิวเตอร์ช่วยสอนบนเครื่อข่าย โดยใช้การทดสอบแบบแผนการ
ทดลองที่มีกลุ่มทดลองหนึ่งกลุ่มทำการทดสอบก่อนทดลองและทดสอบหลังทดลอง เพื่อศึกษา
ความพึงพอใจของนักเรียนที่มีต่อบทเรียนคอมพิวเตอร์ช่วยสอนบนเครือข่าย กลุ่มตัวอย่างที่ใช้
ในการศึกษาดันดว้า เป็นนักเรียนระดับชั้นประถมศึกษาปีที่ 5 โรงเรียนไผทอุดมศึกษา จำนวน
30 คน ภาคเรียนที่ 2 ปีการศึกษา 2549 โดยใช้การสุ่มอย่างง่าย สถิติที่ใช้ในการวิเคราะห์ข้อมูล
คือ ค่าร้อยละ ค่าเบี่ยงเบนมาตรฐาน และค่าเฉลี่ย
ผลของการวิจัยพบว่าบทเรียนตังกล่าวมีประสิทธิภาพ 89.83/82.83 ซึ่งสูงกว่าเกณฑ์
80/80 ที่ตั้งสมมติฐานไว้ ผลสัมฤทธิ์ทางการเรียนของผู้เรียน พบว่าผลสัมฤทธิ์ทางการเรียน
หลังเรียนสูงกว่าก่อนเรียนด้วยบทเรียน อย่างมีนัยสำคัญทางสถิติ .05  นอกจากนี้แล้วจากการ
วิเดราะห์ความคิดเห็นของผู้ใช้บทเรียนอยู่ในระดับดี (X = 4.38, S.D. = 0.55) สรุปได้ว่า
บทเรียนคอมพิวเตอร์ช่วยสอนบนเครือข่าย เรื่อง การสร้างหนังสืออิเล็กทรอนิกส์โดยใช้
โปรแกรมฟลิปพับบลิชเชอร์ (Flip Pubisher) ระดับชั้นประถมศึกษาปีที่ 5 สามารถนำไปใช้ใน
การเรียนการสอนของโรงเรียนได้"
การสร้างและหาประสิทธิภาพบทเรียนคอมพิวเตอร์ช่วยสอนบนเครือข่ายอินเทอร์เน็ต วิชาระบบปฏิบัติการ สำหรับนักศึกษาระดับปริญญาตรี สาขาวิชาวิศวกรรมคอมพิวเตอร์ มหาวิทยาลัยเทคโนโลยีราชมงคลสุวรรณภูมิ,Web-Based Instruction on CPU Scheduling on Operating System for Computer Engineering freshmen in Rajamangala University of Technology Suvarnabhumi,ลักษนันท์,พลอยวัฒนาวงศ์,,,,,จิรพันธุ์ ศรีสมพันธุ์,,,E-PROJECT,ปริญญานิพนธ์ (ค.อ.บ.),WBI,ภาควิชาคอมพิวเตอร์ศึกษา,2549,"โครงงานปัญหาพิเศษฉบับนี้มีวัตถุประสงค์เพื่อสร้างบทเรียนคอมพิวเตอร์ช่วยสอนบน
เครือข่ายอินเทอร์เน็ต เรื่องการจัดเวลาซีพียู แบบจำลองสถานการณ์ วิชาระบบปฏิบัติการ
สาขาวิชาวิศวกรรมคอมพิวเตอร์ เพื่อหาประสิทธิภาพและความพึงพอใจของบทเรียน
คอมพิวเตอร์ช่วยสอนบนเครือข่ายอินเทอร์เน็ตที่พัฒนาขึ้น
กลุ่มตัวอย่างคือนักศึกษาระดับปริญญาตรี มหาวิทยาลัยเทคโนโลยีราชมงคล
สุวรรณภูมิ หนึ่งห้องเรียนจำนวน 17 คน เพื่อหาประสิทธิภาพของบทเรียนคอมพิวเตอร์ช่วย
สอนบนเครือข่ายอินเทอร์เน็ต เรื่องการจัดเวลาซีพียู แบบจำลองสถานการณ์ แบบแผนการวิจัย
ที่ใช้คือ แบบกลุ่มเดียวสอบก่อนและสอบหลัง (One-Group Pretest-Posttest Design)  และ
เปรียบเทียบผลสัมฤทธิ์ทางการเรียนของนักศึกษาโดยการทดสอบที (t-test Dependent)
ผลการวิจัยสรุปได้ดังนี้คือ บทเรียนคอมพิวเตอร์ช่วยสอนบนเครือข่ายอินเทอร์เน็ต
เรื่องการจัดเวลาซีพียู แบบจำลองสถานการณ์ที่สร้างขึ้นมีประสิทธิภาพ 88.89/81.05 เป็นไป
ตามเกณฑ์ที่กำหนดไว้คือ 80/80 และเมื่อนำคะแนนเฉลี่ยของแบบทดสอบก่อนเรียนและคะแนน
เฉลี่ยของแบบทดสอบหลังเรียนมาเปรียบเทียบกันโดยการทดสอบที พบว่า ผลสัมฤทธิ์ทาง
การเรียนของนักศึกษา หลังเรียนด้วยบทเรียนคอมพิวเตอร์บนเครือข่ายอินเทอร์เน็ตสูงกว่าก่อน
เรียนที่ .05 และนักศึกษามีความพึงพอใจต่อการใช้บทเรียนอยู่ในระดับดีมาก แสดงให้เห็นว่า
บทเรียนคอมพิวเตอร์ช่วยสอนบนเครือข่ายอินเทอร์เน็ต เรื่องการจัดเวลาซีพียู แบบจำลอง
สถานการณ์ ที่สร้างขึ้นสามารถนำไปใช้ในวิชาระบบปฏิบัติการ"
